Data,Disease
/MPOX_2/Chickenpox/1.jpg,Chickenpox
/MPOX_2/Chickenpox/2.jpg,Chickenpox
/MPOX_2/Chickenpox/3.jpg,Chickenpox
/MPOX_2/Chickenpox/4.jpg,Chickenpox
/MPOX_2/Chickenpox/5.jpg,Chickenpox
/MPOX_2/Chickenpox/6.jpg,Chickenpox
/MPOX_2/Chickenpox/7.jpg,Chickenpox
/MPOX_2/Chickenpox/8.jpg,Chickenpox
/MPOX_2/Chickenpox/9.jpg,Chickenpox
/MPOX_2/Chickenpox/10.jpg,Chickenpox
/MPOX_2/Chickenpox/11.jpg,Chickenpox
/MPOX_2/Chickenpox/12.jpg,Chickenpox
/MPOX_2/Chickenpox/13.jpg,Chickenpox
/MPOX_2/Chickenpox/14.jpg,Chickenpox
/MPOX_2/Chickenpox/15.jpg,Chickenpox
/MPOX_2/Chickenpox/16.jpg,Chickenpox
/MPOX_2/Chickenpox/17.jpg,Chickenpox
/MPOX_2/Chickenpox/18.jpg,Chickenpox
/MPOX_2/Chickenpox/19.jpg,Chickenpox
/MPOX_2/Chickenpox/20.jpg,Chickenpox
/MPOX_2/Chickenpox/21.jpg,Chickenpox
/MPOX_2/Chickenpox/22.jpg,Chickenpox
/MPOX_2/Chickenpox/23.jpg,Chickenpox
/MPOX_2/Chickenpox/24.jpg,Chickenpox
/MPOX_2/Chickenpox/25.jpg,Chickenpox
/MPOX_2/Chickenpox/26.jpg,Chickenpox
/MPOX_2/Chickenpox/27.jpg,Chickenpox
/MPOX_2/Chickenpox/28.jpg,Chickenpox
/MPOX_2/Chickenpox/29.jpg,Chickenpox
/MPOX_2/Chickenpox/30.jpg,Chickenpox
/MPOX_2/Chickenpox/31.jpg,Chickenpox
/MPOX_2/Chickenpox/32.jpg,Chickenpox
/MPOX_2/Chickenpox/33.jpg,Chickenpox
/MPOX_2/Chickenpox/34.jpg,Chickenpox
/MPOX_2/Chickenpox/35.jpg,Chickenpox
/MPOX_2/Chickenpox/36.jpg,Chickenpox
/MPOX_2/Chickenpox/37.jpg,Chickenpox
/MPOX_2/Chickenpox/38.jpg,Chickenpox
/MPOX_2/Chickenpox/39.jpg,Chickenpox
/MPOX_2/Chickenpox/40.jpg,Chickenpox
/MPOX_2/Chickenpox/41.jpg,Chickenpox
/MPOX_2/Chickenpox/42.jpg,Chickenpox
/MPOX_2/Chickenpox/43.jpg,Chickenpox
/MPOX_2/Chickenpox/44.jpg,Chickenpox
/MPOX_2/Chickenpox/45.jpg,Chickenpox
/MPOX_2/Chickenpox/46.jpg,Chickenpox
/MPOX_2/Chickenpox/47.jpg,Chickenpox
/MPOX_2/Chickenpox/48.jpg,Chickenpox
/MPOX_2/Chickenpox/49.jpg,Chickenpox
/MPOX_2/Chickenpox/50.jpg,Chickenpox
/MPOX_2/Chickenpox/51.jpg,Chickenpox
/MPOX_2/Chickenpox/52.jpg,Chickenpox
/MPOX_2/Chickenpox/53.jpg,Chickenpox
/MPOX_2/Chickenpox/54.jpg,Chickenpox
/MPOX_2/Chickenpox/55.jpg,Chickenpox
/MPOX_2/Chickenpox/56.jpg,Chickenpox
/MPOX_2/Chickenpox/57.jpg,Chickenpox
/MPOX_2/Chickenpox/58.jpg,Chickenpox
/MPOX_2/Chickenpox/59.jpg,Chickenpox
/MPOX_2/Chickenpox/60.jpg,Chickenpox
/MPOX_2/Chickenpox/61.jpg,Chickenpox
/MPOX_2/Chickenpox/62.jpg,Chickenpox
/MPOX_2/Chickenpox/63.jpg,Chickenpox
/MPOX_2/Chickenpox/64.jpg,Chickenpox
/MPOX_2/Chickenpox/65.jpg,Chickenpox
/MPOX_2/Chickenpox/66.jpg,Chickenpox
/MPOX_2/Chickenpox/67.jpg,Chickenpox
/MPOX_2/Chickenpox/68.jpg,Chickenpox
/MPOX_2/Chickenpox/69.jpg,Chickenpox
/MPOX_2/Chickenpox/70.jpg,Chickenpox
/MPOX_2/Chickenpox/71.jpg,Chickenpox
/MPOX_2/Chickenpox/72.jpg,Chickenpox
/MPOX_2/Chickenpox/73.jpg,Chickenpox
/MPOX_2/Chickenpox/74.jpg,Chickenpox
/MPOX_2/Chickenpox/75.jpg,Chickenpox
/MPOX_2/Chickenpox/76.jpg,Chickenpox
/MPOX_2/Chickenpox/77.jpg,Chickenpox
/MPOX_2/Chickenpox/78.jpg,Chickenpox
/MPOX_2/Chickenpox/79.jpg,Chickenpox
/MPOX_2/Chickenpox/80.jpg,Chickenpox
/MPOX_2/Chickenpox/81.jpg,Chickenpox
/MPOX_2/Chickenpox/82.jpg,Chickenpox
/MPOX_2/Chickenpox/83.jpg,Chickenpox
/MPOX_2/Chickenpox/84.jpg,Chickenpox
/MPOX_2/Chickenpox/85.jpg,Chickenpox
/MPOX_2/Chickenpox/86.jpg,Chickenpox
/MPOX_2/Chickenpox/87.jpg,Chickenpox
/MPOX_2/Chickenpox/88.jpg,Chickenpox
/MPOX_2/Chickenpox/89.jpg,Chickenpox
/MPOX_2/Chickenpox/90.jpg,Chickenpox
/MPOX_2/Chickenpox/91.jpg,Chickenpox
/MPOX_2/Chickenpox/92.jpg,Chickenpox
/MPOX_2/Chickenpox/93.jpg,Chickenpox
/MPOX_2/Chickenpox/94.jpg,Chickenpox
/MPOX_2/Chickenpox/95.jpg,Chickenpox
/MPOX_2/Chickenpox/96.jpg,Chickenpox
/MPOX_2/Chickenpox/97.jpg,Chickenpox
/MPOX_2/Chickenpox/98.jpg,Chickenpox
/MPOX_2/Chickenpox/99.jpg,Chickenpox
/MPOX_2/Chickenpox/100.jpg,Chickenpox
/MPOX_2/Chickenpox/101.jpg,Chickenpox
/MPOX_2/Chickenpox/102.jpg,Chickenpox
/MPOX_2/Chickenpox/103.jpg,Chickenpox
/MPOX_2/Chickenpox/104.jpg,Chickenpox
/MPOX_2/Chickenpox/105.jpg,Chickenpox
/MPOX_2/Chickenpox/106.jpg,Chickenpox
/MPOX_2/Chickenpox/107.jpg,Chickenpox
/MPOX_2/Chickenpox/108.jpg,Chickenpox
/MPOX_2/Chickenpox/109.jpg,Chickenpox
/MPOX_2/Chickenpox/110.jpg,Chickenpox
/MPOX_2/Chickenpox/111.jpg,Chickenpox
/MPOX_2/Chickenpox/112.jpg,Chickenpox
/MPOX_2/Chickenpox/113.jpg,Chickenpox
/MPOX_2/Chickenpox/114.jpg,Chickenpox
/MPOX_2/Chickenpox/115.jpg,Chickenpox
/MPOX_2/Chickenpox/116.jpg,Chickenpox
/MPOX_2/Chickenpox/117.jpg,Chickenpox
/MPOX_2/Chickenpox/118.jpg,Chickenpox
/MPOX_2/Chickenpox/119.jpg,Chickenpox
/MPOX_2/Chickenpox/120.jpg,Chickenpox
/MPOX_2/Chickenpox/121.jpg,Chickenpox
/MPOX_2/Chickenpox/122.jpg,Chickenpox
/MPOX_2/Chickenpox/123.jpg,Chickenpox
/MPOX_2/Chickenpox/124.jpg,Chickenpox
/MPOX_2/Chickenpox/125.jpg,Chickenpox
/MPOX_2/Chickenpox/126.jpg,Chickenpox
/MPOX_2/Chickenpox/127.jpg,Chickenpox
/MPOX_2/Chickenpox/128.jpg,Chickenpox
/MPOX_2/Chickenpox/129.jpg,Chickenpox
/MPOX_2/Chickenpox/130.jpg,Chickenpox
/MPOX_2/Chickenpox/131.jpg,Chickenpox
/MPOX_2/Chickenpox/132.jpg,Chickenpox
/MPOX_2/Chickenpox/133.jpg,Chickenpox
